表情名称,情感,类型,道具,其他关键词
生日快乐,开心,节日祝福,蛋糕,生日快乐 happy birthday 温馨 烛光
mother's day,开心,节日祝福,鲜花,母情节 妈妈辛苦了 伟大 母爱 感恩
欢脱拜年,喜庆 欢乐,节日祝福,红包,拜年 恭喜发财 新年快乐 春节礼物
吃药啦,难过,欢乐,药 医疗箱,有病 药 感冒 着凉 吃药 服药 药不能停 药药药
喜欢你,深情,mv,无,黑凤梨 喜欢你 那双眼动人 笑声更迷人 愿再可 轻抚你
duang,欢乐,mv,无,化学成分的 加特技 很亮 很顺 很柔
让我睡会,无,日常,桌子,好困啊 疲劳 谁一会 休息 打哈欠
求收养,萌,表情生成器,箱子,求收养 求包养
甜种党,热血,表情生成器,无,甜粽 粽子
打招呼,微笑,表情生成器,钱,您好 招手 点头 微笑
飞吻,快乐,表情生成器,飞吻,接吻 kiss 爱
去死吧,愤怒,表情生成器,臭鸡蛋,滚 去死吧 王八蛋
加油,热血,表情生成器,握拳,加油 全力以赴 奋斗 努力 助威 鼓励 干巴爹
献花,真诚,表情生成器,玫瑰花,我爱你 I love you 我的而心中只有你
嘘,无,表情生成器,无,安静 小声点 不要说话 
恭喜恭喜,微笑,表情生成器,无,祝贺 恭喜 包涵 贺喜
