ni3     NiLiL
hao3    HaLoL
jian4   jiaHnnL
bu4     BuHuL
ke4     KelHelL
qi4     qiiHiL
dui4    duehHiL
qi3     qiiLiL
mei2    MehLiH
guan1   guaHnnH
xi4     xiiHiL
wo3     wuuLoL
jiao4   jiaaHoL
sang1   SaaHngH
de2     DelLelH
lan1    LaHnnH
da4     DaHaL
xue2    xvuLelH
sheng1  ShelHngH
hui4    huehHiL
shuo1   shuoHoH
han4    HaHnnL
yu3     yvuLuL
xi3     xiiLiL
huan1   huaHnnH
zhong1  ZhuHngH
guo2    guoLoH
cai4    CaHehL
di4     diiHiL
yi1     yiiHiH
ci4     CifHifL
lai2    LaLehH
chong2  chuuLngH
qing4   qielHngL
ma3     MaLaL
qu4     qvuHuL
guo4    guoHoL  
guang3  guaaLngL
an1       aHnnH
zhu4    zhuuHuL
na3     NaLaL
er3       erLerL
ke3     KelLelL
yi3     yiiLiL
gao4    gaaaHoL
su4     suuHuL
dian4   diaHnnL
hua4    huaHaL
hao4    HaaHoL
ma3     MaLaL
ren4    RelHnnL
shi2    ShibLibH
hen3    HelLnnL
gao1    gaaaHoH
xing4   xielHngL
ye3     yvelLelL
ta1     TaHaH
huan2   huaLnnH
te4     TelHelL
di4     diiHiL
zhai1    ZhaHehH
le5      LelMelM
xie1     xielHelH
xie4     xielHelL
piao1    piaaHoH
liang4   liaaHngL
de5      DelMelM
hua1     huaHaH
duo3     duoLoL
rao4     RaaHoL
zhao2     ZhaaLoH
liang3    liaaLngL
ge4       geelHelL
guo3      guoLoL
lan2       LaLnnH
si3        SifLifL
bai3       BaLehL
le5        LelMelM
yi1        yiiHiH
quan1      qvaHnnH 
dang1      DaaHngH
ta1        TaHaH
hui2       huehLiH
dao4       DaaHoL
jia1       jiaHaH
hou4       HoHuL
ta1        TaHaH
wei4       wuehHiL
ma1        MaHaH
ma1        MaHaH
hua4       huaHaL
le5        LelMelM
yi1        yiiHiH
zhang1       ZhaaHngH
sheng1       ShelHngH
ri4          RibHibL
qia3         qiaLaL
bi3          BiLiL
de2          DelLelH
di1          DiHiH
tou2         ToLuH
kan4         KaHnnL
le5          LelMelM
kan4         KaHnnL
ta1          TaHaH
de5           DelMelM 
jiao3        jiaaLoL
bian1        biaHnnH
fang4        FaaHngL
zhao2        ZhaaLoH
liang3       liaaLngL
lan2          LaLnnH 
zi3           ZifLifL
mei3          MehLiL
lan2          LaLnnH
du1            duuHuH
zheng3         ZhelLngL
zheng3         ZhelLngL
qi2            qiiLiH
qi2            qiiLiH
zhuang1        zhuaaHngH
de2            DelLelH  
man3           MaLnnL
man3           MaLnnL
de5            DelMelM 
yi1            yiiHiH
zhuang1       zhuaaHngH
zhao2         ZhaaLoH
hong2         huuLngH
mei2          MehLiH
ling4         lielHngL
yi1           yiiHiH
zhuang1       zhuaaHngH
zhao2         ZhaaLoH
lan2           LaLnnH
mei2          MehLiH
lan2           LaLnnH
mei2           MehLiH
guo2          guoLoH
wang2         wuaaLngH
he2           HelLelH
ta1           TaHaH
de5           DelMelM
er2          erLerH
men5          MelMnnM
zao3          ZaaLoL
yi3            yiiLiL
bu4            BuHuL
jian4         jiaHnnL 
le5           LelMelM
zong1         zuuHngH
ying3         yielLngL
shen2         ShelLnnH
zhi4          ZhibHibL
jiu4          jioHuL
lian2         liaLnnH
la1            LaHaH
ma3            MaLaL
che1           ChelHelH
de5             DelMelM
lao3           LaaLoL
shu3          shuuLuL
du1          duuHuH
bu4          BuHuL
jian4        jiaHnnL
le5           LelMelM
bi3           biiLiL
de2            DelLelH
tai2            TaLehH
tou2             ToLuH
yi1            yiiHiH
kan4            KaHnnL
yuan2            yvaLnnH
lai2             LaLehH
ta1            TaHaH
you4             yvoHuL
hui2            huehLiH
dao4            DaaHoL
yu4             yvuHuL
jian4            jiaHnnL
lan2            LaLnnH
mei2              MehLiH
guo2             guoLoH
wang2           wuaaLngH
de5             DelMelM
na4            NaHaL
shu4            shuuHuL
zhuang1         zhuaaHngH
shang4          ShaaHngL
le5              LelMelM
ma3             MaLaL
che1            ChelHelH
pao3            PaaLoL
le5            LelMelM
yi1            yiiHiH
hui4           huehHiL
er2            erLerH
tu1            TuHuH
ran2           RaLnnH
meng3          MelLngL
di4            DiHiL
zhan4          ZhaHnnL
dou3           DoLuL
le5            LelMelM
yi1             yiiHiH
xia4            xiaHaL
ting2          TelLngH
le5             LelMelM
xia4           xiaHaL
lai2           LaLehH
ta1             TaHaH
men5           MelMnnM
dao4          DaaHoL
jia1          jiaHaH
lan2           LaLnnH
mei2           MehLiH
guo2          guoLoH
wang2          wuaaLngH
zheng4         ZhelHngL
zai4          ZaHehL
deng3         DelLngL
zhao2         ZhaaLoH
ta1            TaHaH
men5           MelMnnM
ta1            TaHaH
men5           MelMnnM
fei1          FehHiH
ben1          BelHnnH
zhao2         ZhaaLoH
jing1         jielHngH
guo4          guoHoL
le5          LelMelM
liang3       liaaLngL
zhi3          ZhibLibL
gua1          guaHaH
niu2          nioLuH
gua1         guaHaH
niu2         nioLuH
ji2          jiiLiH
du4          duuHuL
de2          DelLelH
lian3        liaLnnL
du1          duuHuH
bian4         biaHnnL
lv4           lv
le5           LelMelM
dang1         DaaHngH
ran2         RaLnnH
ta1         TaHaH
men5         MelMnnM
pao3         PaaLoL
de2         DelLelH
mei2        MehLiH
you3        yvoLuL
xian1       xiaHnnH
qian2       qiaLnnH
na4          NaHaL
yang2       yvaaLngH
kuai4       kuaHehL
ran2        RaLnnH
hou4        HoHuL
ta1        TaHaH
men5        MelMnnM
gei3        geehLiL
lao3        LaaLoL
shu3       shuuLuL
tao4        TaaHoL
shang4      ShaaHngL
sheng2      ShelLngH
suo3         suoLoL
fei1        FehHiH
kuai4        kuaHehL
di4         diiHiL
kai1        KaHehH
zou3         ZoLuL
le5          LelMelM
ta1           TaHaH
de5           DelMelM
lan2          LaLnnH
xian4        xiaHnnL
zhuang1      zhuaaHngH
de2           DelLelH
tai4         TaHehL
man3         MaLnnL
le5          LelMelM
mei3         MehLiL
ren2         RelLnnH
du1          duuHuH
lai2         LaLehH
bang1         BaaHngH
mang2         MaaLngH
cai2         CaLehH
ba3          BaLaL
ta1          TaHaH
zhuang1      zhuaaHngH
dao4          DaaHoL
le5           LelMelM
yi1          yiiHiH
liang4       liaaHngL
ma3          MaLaL
che1         ChelHelH
shang4      ShaaHngL
wan2        wuaLnnH
fan4        FaHnnL
zhi1        ZhibHibH
hou4        HoHuL
jiu4        jioHuL
dao4         DaaHoL
le5         LelMelM
gai1         gaaHehH
zou3         ZoLuL
de5          DelMelM
hou4         HoHuL
le5         LelMelM
bi3          biiLiL
de2          DelLelH
zhi3        ZhibLibL
neng2       NelLngH
mian3       miaLnnL
qiang2      qiaaLngH
xia4        xiaHaL
le5         LelMelM
liang3      liaaLngL
hong2        huuLngH
mei2         MehLiH
guo3         guoLoL
ta1         TaHaH
men5         MelMnnM
quan2        guaLnnH
bu4           BuHuL
du1          duuHuH
chi1          ChibHibH
shang4        ShaaHngL
le5            LelMelM
mei3           MehLiL
duo1          duoHoH
zhi1          ZhibHibH
de5           DelMelM
hong2         huuLngH
mei2          MehLiH
guo3         guoLoL
he2          HelLelH
feng1        FelHngH
mi4           miiHiL
zhi2         ZhibLibH
dao4          DaaHoL
ta1         TaHaH
men5        MelMnnM
de2        DelLelH
bao3       BaaLoL
bao3        BaaLoL
de5        DelMelM
hai2       HaLehH
men5       MelMnnM
he2        HelLelH
suo3       suoLoL
you3       yvoLuL
de5       DelMelM
qi2        qiiLiH
ta1        TaHaH
ke4         KelHelL
ren2        RelLnnH
huang2     huaaLngH
hu2        huuLuH
die2        dielLelH
ma3        MaLaL
yi3        yiiLiL
he2        HelLelH
mi4        miiHiL
feng1       FelHngH
du1        duuHuH
lian2      liaLnnH
mang2       MaaLngH
gan3        gaLnnL
le5        LelMelM
hui2        huehLiH
lai2        LaLehH
