an1       aHnnH
ba3          BaLaL
bai3       BaLehL
bang1         BaaHngH
bao3       BaaLoL
ben1          BelHnnH
bi3          biiLiL
bian1        biaHnnH
bian4         biaHnnL
bu4            BuHuL
cai2         CaLehH
cai4    CaHehL
che1            ChelHelH
chi1          ChibHibH
chong2  chuuLngH
ci4     CifHifL
da4     DaHaL
dang1         DaaHngH
dao4            DaaHoL
de2            DelLelH  
de5           DelMelM 
deng3         DelLngL
di1          diiHiH
di2          diiLiH
di3          diiLiL
di4     diiHiL
dian4   diaHnnL
die2        dielLelH
dou3           DoLuL
du1          duuHuH
du4          duuHuL
dui4    duehHiL
duo1          duoHoH
duo3     duoLoL
er2            erLerH
er3       erLerL
fan4        FaHnnL
fang4        FaaHngL
fei1        FehHiH
feng1       FelHngH
gai1         gaaHehH
gan3        gaLnnL
gao1    gaaaHoH
gao4    gaaaHoL
ge4       geelHelL
gei3        geehLiL
gua1         guaHaH
guan1   guaHnnH
guang3  guaaLngL
guo2    guoLoH
guo3      guoLoL
guo4    guoHoL  
hai2       HaLehH
han4    HaHnnL
hao3    HaLoL
hao4    HaaHoL
he2        HelLelH
hen3    HelLnnL
hong2        huuLngH
hou4       HoHuL
hu2        huuLuH
hua1     huaHaH
hua4    huaHaL
huan1   huaHnnH
huan2   huaLnnH
huang2     huaaLngH
hui2       huehLiH
hui4    huehHiL
ji2          jiiLiH
jia1       jiaHaH
jian4   jiaHnnL
jiao3        jiaaLoL
jiao4   jiaaHoL
jing1         jielHngH
jiu4        jioHuL
kai1        KaHehH
kan4         KaHnnL
ke3     KelLelL
ke4     KelHelL
kuai4       kuaHehL
la1            LaHaH
lai2    LaLehH
lan1    LaHnnH
lan2       LaLnnH
lao3        LaaLoL
le5      LelMelM
lian2      liaLnnH
lian3        liaLnnL
liang3    liaaLngL
liang4   liaaHngL
ling4         lielHngL
lv4           lv
ma1        MaHaH
ma3     MaLaL
man3         MaLnnL
mang2       MaaLngH
mei2    MehLiH
mei3         MehLiL
men5       MelMnnM
meng3          MelLngL
mi4        miiHiL
mian3       miaLnnL
na3     NaLaL
na4          NaHaL
neng2       NelLngH
ni3     NiLiL
niu2         nioLuH
pao3         PaaLoL
piao1    piaaHoH
qi2        qiiLiH
qi3     qiiLiL
qi4     qiiHiL
qia3         qiaLaL
qian2       qiaLnnH
qiang2      qiaaLngH
qing4   qielHngL
qu4     qvuHuL
quan1      qvaHnnH 
quan2        guaLnnH
ran2        RaLnnH
rao4     RaaHoL
ren2        RelLnnH
ren4    RelHnnL
ri4          RibHibL
sang1   SaaHngH
shang4      ShaaHngL
shen2         ShelLnnH
sheng1  ShelHngH
sheng2      ShelLngH
shi2    ShibLibH
shu3       shuuLuL
shu4            shuuHuL
shuo1   shuoHoH
si3        SifLifL
su4     suuHuL
suo3       suoLoL
suo3         suoLoL
ta1     TaHaH
tai2            TaLehH
tai4         TaHehL
tao4        TaaHoL
te4     TelHelL
ting2          TelLngH
tou2         ToLuH
tu1            TuHuH
wan2        wuaLnnH
wang2         wuaaLngH
wei4       wuehHiL
wo3     wuuLoL
xi3     xiiLiL
xi4     xiiHiL
xia4        xiaHaL
xian1       xiaHnnH
xian4        xiaHnnL
xie1     xielHelH
xie4     xielHelL
xing4   xielHngL
xue2    xvuLelH
yang2       yvaaLngH
ye3     yvelLelL
yi1     yiiHiH
yi3     yiiLiL
ying3         yielLngL
you3       yvoLuL
you4             yvoHuL
yu3     yvuLuL
yu4             yvuHuL
yuan2            yvaLnnH
zai4          ZaHehL
zao3          ZaaLoL
zhai1    ZhaHehH
zhan4          ZhaHnnL
zhang1       ZhaaHngH
zhao2     ZhaaLoH
zheng3         ZhelLngL
zheng4         ZhelHngL
zhi1        ZhibHibH
zhi2         ZhibLibH
zhi3        ZhibLibL
zhi4          ZhibHibL
zhong1  ZhuHngH
zhu4    zhuuHuL
zhuang1      zhuaaHngH
zi3           ZifLifL
zong1         zuuHngH
zou3         ZoLuL
